id,reparto,Director
384727,"['Gaspard Proust', 'Audrey Fleurot', 'Anamaria Vartolomei', 'Jonathan Lambert', 'Camille Rowe', 'Alexandrina Turcan', 'Nikolett Barabas', 'Olivier Broche', 'Anthony Sonigo', 'Tom Audenaert', 'Jérôme Niel', 'Charlène Perillat', 'Nancy Tate', 'Mark Lakatos', 'Xavier Alcan', 'Klement André']",Frédéric Beigbeder
362293,"['Yôko Minamida', 'Hideaki Nitani', 'Nobuo Kaneko', 'Toshio Takahara', 'Shinsuke Ashida', 'Jô Shishido', 'Kenjiro Uemura', 'Kan Yanagiya', 'Kotoe Hatsui', 'Taketoshi Naitô', 'Yôko Kosono', 'Hiroshi Kondô', 'Hiroshi Chô', 'Keisuke Noro', 'Kaku Takashina', 'Keisuke Yukioka', 'Akira Hisamatsu', 'Koichi Uenoyama', 'Hiroshi Midorikawa', 'Mikiko Sakai', 'Yôko Yokota']",Seijun Suzuki
159666,"['Aamir Khan', 'Twinkle Khanna', 'Faisal Khan', 'Johnny Lever']",Dharmesh Darshan
704,"['John Lennon', 'Paul McCartney', 'George Harrison', 'Ringo Starr', 'Wilfrid Brambell', 'Norman Rossington', 'John Junkin', 'Victor Spinetti', 'Anna Quayle', 'Deryck Guyler', 'Isla Blair', 'Pattie Boyd', 'Richard Vernon', 'Edward Malin']",Richard Lester
421619,"['Nebojša Glogovac', 'Dejan Aćimović', 'Ksenija Marinković', 'Božidar Smiljanić', 'Mladen Hren', 'Robert Ugrina', 'Matija Cigir', 'Zdenko Jelčić', 'Jelena Jovanova', 'Luka Dragić', 'Daria Lorenci Flatz', 'Željko Duvnjak', 'Željko Königsknecht']",Rajko Grlić
41759,"['Ally Sheedy', 'Lance Henriksen', 'Robert Costanzo', 'Fredric Lehne', 'John Cassini', 'J. D. Daniels', 'William Sanderson', 'Trula M. Marcus', 'Robin Frates', 'Rick Barker', 'Bradley Pierce', 'Robert Arentz', 'Cameron Arnett', 'Adam Carl', 'Thomas Rosales, Jr.']",John Lafia
9067,"['Lori Petty', 'Ice-T', 'Naomi Watts', 'Malcolm McDowell', 'Iggy Pop', 'Don Harvey', 'Jeff Kober', 'Reg E. Cathey', 'Scott Coffey', 'Ann Cusack', 'James Hong', 'Richard Schiff', 'Mary Ann Hermansen', 'Stacy Linn Ramsower', 'Brian Wimmer', 'Dawn Robinson', 'Billy L. Sullivan', 'Charles Lucia', 'Harlan Clark', 'Doug Jones', 'Ata Scanlan', 'Alvarez Wortham', 'Roz Witt', 'Brixton Karnes', ""Will 'Nahkohe' Strickland"", 'Charles Robert Harden', 'Tom Noga', 'BoJesse Christopher', 'John David Bland', 'Jo Farkas', 'Stanton Davis', 'Jillian Balch', 'Kane Picoy', 'Troy Startoni', 'Beth DePatie', 'Clayton Landey', 'Roger Bohman', 'Frank Walton', 'Richard Scott Sarafian', 'Aaron Kuhr', 'Kelly Cousineau', 'Chief Gordon', 'Kelly Kerby', 'Jim Sullivan', 'William A. Doyle', ""Robert 'Rock' Galotti"", 'Peer Ebbighausen', 'Aurorah Allain', 'Kristie Capozzoli', 'Anne Fletcher', 'Carla Garrido', 'Heather Hendricks', 'Carolyn Kusian', 'Letha M. Lamb', 'Larissa Lanoue', 'Holly Manville', 'Corey William May', 'Kristianne Reed', 'Lynette Ruiz', 'Ryoko Sawaishi', 'Joie Shettler', 'Wes Veldink', 'Dee Dee Weathers', 'Anacia Weiskittel', 'Nikki Whitfield', 'Kimberly Wolfe', 'Daniele André', 'Anthony Auriemma', 'Kristen Fick', 'David Horn', ""Robert 'Roby' Hutchinson"", 'Keith Jefferson', 'Dave Lawrence', 'Ann Magnuson', 'Brian Patterson', 'Cynthia Shope']",Rachel Talalay
24349,"['Gena Rowlands', 'Seymour Cassel', 'Val Avery', 'Timothy Carey', 'Katherine Cassavetes', 'John Cassavetes']",John Cassavetes
10155,"['Sean Penn', 'Nick Nolte', 'Jennifer Lopez', 'Joaquin Phoenix', 'Claire Danes', 'Powers Boothe', 'Billy Bob Thornton', 'Jon Voight', 'Abraham Benrubi', 'Richard Rutowski', 'Aida Linares', 'Sean Stone', 'Ilia Volok', 'Brent Briscoe', 'Bo Hopkins', 'Julie Hagerty', 'Annie Tien', 'Sheri Foster', 'Laurie Metcalf', 'Liv Tyler', 'Jeff Flach', 'Valeriy Nikolaev']",Oliver Stone
43034,"['Jeffrey Hunter', 'David Janssen', 'Sessue Hayakawa', 'Vic Damone', 'George Takei', 'Reiko Sato', 'Patricia Owens']",Phil Karlson
